Tanggal;Aceh;Sumatera Utara;Sumatera Barat;Riau;Kepulauan Riau;Jambi;Bengkulu;Sumatera Selatan;Kepulauan Bangka Belitung;Lampung;Banten;Jawa Barat;DKI Jakarta;Jawa Tengah;DI Yogyakarta;Jawa Timur;Bali;Nusa Tenggara Barat;Nusa Tenggara Timur;Kalimantan Barat;Kalimantan Selatan;Kalimantan Tengah;Kalimantan Timur;Kalimantan Utara;Gorontalo;Sulawesi Selatan;Sulawesi Tenggara;Sulawesi Tengah;Sulawesi Utara;Sulawesi Barat;Maluku;Maluku Utara;Papua;Papua Barat
05/01/2021;10250;10950;13450;12300;13300;11800;11450;11450;11850;11250;11100;11200;13450;10950;11400;10500;11600;10350;11700;13100;13150;14150;12350;13400;10850;10000;10800;11200;11400;9750;13200;12650;12300;12950
06/01/2021;10250;10950;13450;12300;13300;11800;11450;11450;11750;11250;11100;11200;13450;10950;11400;10500;11600;10350;11700;13100;13150;14150;12350;13750;10850;10000;10800;11200;11400;9750;13200;12650;12300;12950
07/01/2021;10250;10950;13450;12300;13300;11800;11450;11450;11750;11250;11100;11200;13450;10950;11400;10500;11600;10350;11700;13100;13150;14150;12350;13750;10850;10000;10800;11200;11400;9750;13200;12650;12300;12900
08/01/2021;10250;10950;13450;12300;13300;11800;11450;11450;11750;11250;11100;11200;13450;10950;11400;10500;11600;10350;11700;13100;13150;14150;12350;13750;10850;10000;10800;11200;11400;9750;13200;12650;12300;12950
11/01/2021;10250;10950;13450;12300;13300;11800;11450;11450;11750;11250;11100;11200;13450;10950;11400;10500;11600;10350;11700;13100;13150;14150;12350;13750;10850;10000;10800;11200;11400;9750;13200;12650;12300;12900
12/01/2021;10250;10950;13450;12300;13300;11800;11450;11450;11750;11250;11100;11200;13450;10950;11400;10500;11600;10350;11700;13100;13150;14150;12350;13750;10850;10000;10800;11200;11400;9750;13200;12650;12300;12900
13/01/2021;10250;10950;13500;12300;13300;11800;11450;11450;11750;11250;11100;11200;13450;10950;11400;10500;11600;10350;11700;13100;13150;14150;12350;13750;10850;10000;10800;11200;11400;9750;13200;12650;12300;12750
14/01/2021;10250;10950;13500;12300;13300;11800;11450;11450;11750;11250;11100;11200;13450;10950;11400;10500;11600;10350;11650;13100;13150;14150;12350;13750;10850;10000;10800;11200;11400;9750;13200;12650;12300;12600
15/01/2021;10200;10950;13500;12300;13300;11800;11450;11450;11750;11250;11100;11200;13450;10950;11400;10500;11600;10350;11650;13100;13150;14150;12350;13750;10850;10000;10800;11200;11400;9750;13200;12650;12300;12750
18/01/2021;10200;10950;13650;12300;13300;11800;11450;11450;11750;11250;11100;11200;13450;10950;11400;10500;11600;10400;11650;13100;13150;14150;12350;13750;10850;10000;10800;11200;11400;9750;13200;12650;12100;12950
